"source";"translation";"type";"module";"status";"customer"
"is empty";"is empty";"B";"";"N";"N"
"called to number";"called to number";"B";"";"N";"N"
"Hostname";"Hostname";"B";"";"N";"N"
"Enter IP or hostname of your SpamAssassin server.";"Enter IP or hostname of your SpamAssassin server.";"S";"";"N";"N"
"Port number";"Port number";"S";"";"N";"N"
"Enter port number of SpamAssassin service. Default port number: 783";"Enter port number of SpamAssassin service. Default port number: 783";"S";"";"N";"N"
"Teach";"Teach";"S";"";"N";"N"
"Teach SpamAssassin, when mail was manually marked as spam to improve quality of spam recognition. Warning: Must be enabled on SpamAssassin server.";"Teach SpamAssassin, when mail was manually marked as spam to improve quality of spam recognition. Warning: Must be enabled on SpamAssassin server.";"S";"";"N";"N"
"SpamAssassin integration";"SpamAssassin integration";"S";"";"N";"N"
"Teach SpamAssassin";"Teach SpamAssassin";"S";"";"N";"N"
"Spam:";"Spam:";"B";"";"N";"N"
"There is no chat in ticket";"There is no chat in ticket";"S";"";"N";"N"
"Automatic reply to sender was not sent because the received email seems to be SPAM";"Automatic reply to sender was not sent because the received email seems to be SPAM";"B";"";"N";"N"
"Automatic reply to sender was not sent because the received email seems to be automatic notification";"Automatic reply to sender was not sent because the received email seems to be automatic notification";"B";"";"N";"N"
"Affiliate ID";"Affiliate ID";"C";"";"N";"N"
"Not an affiliate yet?";"Not an affiliate yet?";"C";"";"N";"N"
"Show customer typing text";"Show customer typing text";"C";"";"N";"N"
"Enable agent to see what customer is typing before the message is sent";"Enable agent to see what customer is typing before the message is sent";"C";"";"N";"N"
"Edit predefined answer - %s";"Edit predefined answer - %s";"C";"";"N";"N"
"Edit time rule - %s";"Edit time rule - %s";"C";"";"N";"N"
"Show Source";"Show Source";"C";"";"N";"N"
"Upgrade now";"Upgrade now";"C";"";"N";"N"
"Edit rule - %s";"Edit rule - %s";"C";"";"N";"N"
"Edit SLA rule - %s";"Edit SLA rule - %s";"C";"";"N";"N"
"You do not have rights to %s";"You do not have rights to %s";"C";"";"N";"N"
"IP address (%s) blocked. Add IP to whitelist to execute API requests.";"IP address (%s) blocked. Add IP to whitelist to execute API requests.";"S";"";"N";"N"
"Access from your IP address (%s) is denied. Contact administrator to whitelist your IP.";"Access from your IP address (%s) is denied. Contact administrator to whitelist your IP.";"S";"";"N";"N"
"Your current IP address doesn't match with defined IP range. Adjust IP range to match also your current IP address (%s).";"Your current IP address doesn't match with defined IP range. Adjust IP range to match also your current IP address (%s).";"S";"";"N";"N"
"Internal calls";"Internal calls";"S";"";"N";"N"
"Internal calls per hour";"Internal calls per hour";"S";"";"N";"N"
"Internal call minutes";"Internal call minutes";"S";"";"N";"N"
"Internal call minutes per hour";"Internal call minutes per hour";"S";"";"N";"N"
"Internal call average time";"Internal call average time";"S";"";"N";"N"
"Outgoing call minutes";"Outgoing call minutes";"S";"";"N";"N"
"Outgoing call minutes per hour";"Outgoing call minutes per hour";"S";"";"N";"N"
"Call average time";"Call average time";"S";"";"N";"N"
"Outgoing call average time";"Outgoing call average time";"S";"";"N";"N"
"Remove uploaded source CSV file.";"Remove uploaded source CSV file.";"S";"";"N";"N"
"Delete Attachments";"Delete Attachments";"S";"";"N";"N"
"Allow agents and admins to delete attachments from ticket";"Allow agents and admins to delete attachments from ticket";"S";"";"N";"N"
"Ticket Attachments";"Ticket Attachments";"S";"";"N";"N"
"Ticket Attachments Management";"Ticket Attachments Management";"S";"";"N";"N"
"Shows all attachments from ticket in the custom plugin. Allows agents to delete attachments from ticket, download all attachments at once or one by one.";"Shows all attachments from ticket in the custom plugin. Allows agents to delete attachments from ticket, download all attachments at once or one by one.";"S";"";"N";"N"
"deleted attachment %s (%s)";"deleted attachment %s (%s)";"S";"";"N";"N"
"Attachment deleted. Close and open ticket again to see the change.";"Attachment deleted. Close and open ticket again to see the change.";"S";"";"N";"N"
"Ticket has no attachments";"Ticket has no attachments";"S";"";"N";"N"
"Download All";"Download All";"S";"";"N";"N"
"Add users";"Add users";"B";"";"N";"N"
"User types";"User types";"S";"";"N";"N"
"<b>Agents</b> take care of all the customer requests, answer chats, phone calls and other messages. Optionally, they can manage Knowledge Base articles. They don't have access to configuration.";"<b>Agents</b> take care of all the customer requests, answer chats, phone calls and other messages. Optionally, they can manage Knowledge Base articles. They don't have access to configuration.";"S";"";"N";"N"
"<b>Admins</b> can configure the system, view reports and manage other users. (Recommended for Managers)";"<b>Admins</b> can configure the system, view reports and manage other users. (Recommended for Managers)";"S";"";"N";"N"
"<b>The owner</b> is a special type of administrator that, in addition, can change and upgrade the subscription plan and has access to billing information and invoices.";"<b>The owner</b> is a special type of administrator that, in addition, can change and upgrade the subscription plan and has access to billing information and invoices.";"S";"";"N";"N"
"Add Voice support";"Add Voice support";"S";"";"N";"N"
"Have a call center setup in a matter of minutes.";"Have a call center setup in a matter of minutes.";"S";"";"N";"N"
"Customer automatically gets into a queue and waits for the first available agent.";"Customer automatically gets into a queue and waits for the first available agent.";"S";"";"N";"N"
"Add a chat button";"Add a chat button";"B";"";"N";"N"
"Connect an email account";"Connect an email account";"S";"";"N";"N"
"Connect your Social pages";"Connect your Social pages";"S";"";"N";"N"
"You are automatically notified about new comments, posts or messages.";"You are automatically notified about new comments, posts or messages.";"S";"";"N";"N"
"No need to add more administrators to social pages, manage permissions in one place.";"No need to add more administrators to social pages, manage permissions in one place.";"S";"";"N";"N"
"Monitor, answer and archive all socials posts in one place.";"Monitor, answer and archive all socials posts in one place.";"S";"";"N";"N"
"Want to see more videos?";"Want to see more videos?";"S";"";"N";"N"
"Stay in touch with your customers";"Stay in touch with your customers";"S";"";"N";"N"
"Need more information? Didn’t find what you were looking for?";"Need more information? Didn’t find what you were looking for?";"S";"";"N";"N"
"Try browsing our knowledge base.";"Try browsing our knowledge base.";"S";"";"N";"N"
"Keyboard shortcuts";"Keyboard shortcuts";"S";"";"N";"N"
"Need help?";"Need help?";"B";"";"N";"N"
"Direct contacts";"Direct contacts";"S";"";"N";"N"
"Connect with us";"Connect with us";"S";"";"N";"N"
"Every-time a customer contacts you a Ticket is created. Application unifies this communication and distributes it to the Agents for the job.";"Every-time a customer contacts you a Ticket is created. Application unifies this communication and distributes it to the Agents for the job.";"S";"";"N";"N"
"Individual agents are responsible for resolving customer issues. It's easy to collaborate and share information about the customers and their issues between agents.";"Individual agents are responsible for resolving customer issues. It's easy to collaborate and share information about the customers and their issues between agents.";"S";"";"N";"N"
"Ticket Phases";"Ticket Phases";"S";"";"N";"N"
"To distribute work, authority and responsibility of Tickets, creating Departments is necessary.";"To distribute work, authority and responsibility of Tickets, creating Departments is necessary.";"S";"";"N";"N"
"Transfer and Assign tickets at any stage of their life to individual agents or whole departments where one of the agents will take care of it. You can also add some note.";"Transfer and Assign tickets at any stage of their life to individual agents or whole departments where one of the agents will take care of it. You can also add some note.";"S";"";"N";"N"
"Now that you know the essentials, you're ready to add new users and invite your coworkers and staff.";"Now that you know the essentials, you're ready to add new users and invite your coworkers and staff.";"S";"";"N";"N"
"Setup a Customer portal";"Setup a Customer portal";"B";"";"N";"N"
"Setting up a self-service customer portal can save you a lot repetitive answering and can provide support to your customers even when your agents are not operating. The more problems and issues they are able to solve on their own, the less worries and workload you have.";"Setting up a self-service customer portal can save you a lot repetitive answering and can provide support to your customers even when your agents are not operating. The more problems and issues they are able to solve on their own, the less worries and workload you have.";"S";"";"N";"N"
"What we offer?";"What we offer?";"S";"";"N";"N"
"Knowledge base";"Knowledge base";"S";"";"N";"N"
"FAQs";"FAQs";"S";"";"N";"N"
"Feature suggestions";"Feature suggestions";"S";"";"N";"N"
"Leave offline message";"Leave offline message";"C";"";"N";"N"
"Send instant message";"Send instant message";"C";"";"N";"N"
"%s is not available for chat at the moment";"%s is not available for chat at the moment";"C";"";"N";"N"
"Agent panel theme";"Agent panel theme";"C";"";"N";"N"
"Whitelisted IPs";"Whitelisted IPs";"C";"";"N";"N"
"Limit API access just from whitelisted IP addresses/ranges separated by new line or comma. Examples of supported values: exact match (e.g. 192.168.1.1), wildcard notation (e.g. *.*.*.*), range (e.g. 1.1.1.1-1.2.1.1), range defined in form of sub net mask (e.g. 192.168.0.0/16).";"Limit API access just from whitelisted IP addresses/ranges separated by new line or comma. Examples of supported values: exact match (e.g. 192.168.1.1), wildcard notation (e.g. *.*.*.*), range (e.g. 1.1.1.1-1.2.1.1), range defined in form of sub net mask (e.g. 192.168.0.0/16).";"C";"";"N";"N"
"Default agent panel theme";"Default agent panel theme";"C";"";"N";"N"
"Agent panel access";"Agent panel access";"C";"";"N";"N"
"Limit agent panel access just from whitelisted IP addresses/ranges separated by new line or comma. Examples of supported values: exact match (e.g. 192.168.1.1), wildcard notation (e.g. *.*.*.*), range (e.g. 1.1.1.1-1.2.1.1), range defined in form of sub net mask (e.g. 192.168.0.0/16).";"Limit agent panel access just from whitelisted IP addresses/ranges separated by new line or comma. Examples of supported values: exact match (e.g. 192.168.1.1), wildcard notation (e.g. *.*.*.*), range (e.g. 1.1.1.1-1.2.1.1), range defined in form of sub net mask (e.g. 192.168.0.0/16).";"C";"";"N";"N"
"%s started call";"%s started call";"C";"";"N";"N"
"%s calling";"%s calling";"C";"";"N";"N"
"Warning: %s This action can not be taken back %s";"Warning: %s This action can not be taken back %s";"C";"";"N";"N"
"undo";"undo";"C";"";"N";"N"
"skip";"skip";"C";"";"N";"N"
"Recommended steps";"Recommended steps";"C";"";"N";"N"
"Skipped steps";"Skipped steps";"C";"";"N";"N"
"undo skipped steps";"undo skipped steps";"C";"";"N";"N"
"Don't be afraid. You can later find it in the Configuration screen.";"Don't be afraid. You can later find it in the Configuration screen.";"C";"";"N";"N"
"expand";"expand";"C";"";"N";"N"
"hide";"hide";"C";"";"N";"N"
"%s from %s completed";"%s from %s completed";"C";"";"N";"N"
"Add chat button";"Add chat button";"C";"";"N";"N"
"Add voice support";"Add voice support";"C";"";"N";"N"
"Connect";"Connect";"B";"";"N";"N"
"Connect email account";"Connect email account";"C";"";"N";"N"
"Connect email";"Connect email";"C";"";"N";"N"
"Connect your social pages";"Connect your social pages";"C";"";"N";"N"
"Supported Social networks";"Supported Social networks";"C";"";"N";"N"
"Create an account";"Create an account";"C";"";"N";"N"
"Got it!";"Got it!";"C";"";"N";"N"
"Video tutorial";"Video tutorial";"C";"";"N";"N"
"Mobile apps";"Mobile apps";"C";"";"N";"N"
"Our Knowledge base";"Our Knowledge base";"C";"";"N";"N"
"Learn the basics";"Learn the basics";"B";"";"N";"N"
"Transfer and Assign";"Transfer and Assign";"B";"";"N";"N"
"Setup a customer portal";"Setup a customer portal";"C";"";"N";"N"
"Upload your logo";"Upload your logo";"B";"";"N";"N"
"without level";"without level";"C";"";"N";"N"
"Agent has been already rated";"Agent has been already rated";"C";"";"N";"N"
"2 weeks";"2 weeks";"C";"";"N";"N"
"exact time";"exact time";"C";"";"N";"N"
"Postpone by";"Postpone by";"C";"";"N";"N"
"Exact time";"Exact time";"C";"";"N";"N"
" until %s";" until %s";"C";"";"N";"N"
"postpone ticket";"postpone ticket";"B";"";"N";"N"
"hangup without voice mail";"hangup without voice mail";"S";"";"N";"N"
"Call from call widget";"Call from call widget";"S";"";"N";"N"
"Your customers do not even need to pick up a phone to call you, they can directly call you using their computers.";"Your customers do not even need to pick up a phone to call you, they can directly call you using their computers.";"S";"";"N";"N"
"You can enable this by adding a call button anywhere onto your website.";"You can enable this by adding a call button anywhere onto your website.";"S";"";"N";"N"
"Setup a call center and start accepting phone calls from all over the world. When customers call your number, they automatically get in queue and wait for the first available agent to pick up.";"Setup a call center and start accepting phone calls from all over the world. When customers call your number, they automatically get in queue and wait for the first available agent to pick up.";"S";"";"N";"N"
"If you want to use {$productName}'s live chat on your website, creating a chat button is necessary. You can choose from various signs and styles in the chat button gallery.";"If you want to use {$productName}'s live chat on your website, creating a chat button is necessary. You can choose from various signs and styles in the chat button gallery.";"S";"";"N";"N"
"Connect your email account and have all your business emails stored in tickets. {$productName} allows you to connect <b>unlimited</b> number of email addresses.";"Connect your email account and have all your business emails stored in tickets. {$productName} allows you to connect <b>unlimited</b> number of email addresses.";"S";"";"N";"N"
"{$productName} connects with your communication channels and transforms all queries into tickets.";"{$productName} connects with your communication channels and transforms all queries into tickets.";"S";"";"N";"N"
"Throughout a Ticket's life, it can obtain various statuses. When it comes in the system for the first time it's marked as ""New"". After it's replied, it's marked as ""Answered"". When the customer replies again, the ticket is marked as ""Open"".";"Throughout a Ticket's life, it can obtain various statuses. When it comes in the system for the first time it's marked as ""New"". After it's replied, it's marked as ""Answered"". When the customer replies again, the ticket is marked as ""Open"".";"S";"";"N";"N"
"Ticket doesn't exist";"Ticket doesn't exist";"B";"";"N";"N"
"Authentication Method";"Authentication Method";"B";"";"N";"N"
"Customer will not be notified about resolved ticket by notification email.";"Customer will not be notified about resolved ticket by notification email.";"C";"";"N";"N"
"resolve ticket (silent)";"resolve ticket (silent)";"B";"";"N";"N"
"Turn off";"Turn off";"C";"";"N";"N"
"Open the link to authorize connection between your AWeber account and application. Once Authorized, copy and paste Authorization code into following field.";"Open the link to authorize connection between your AWeber account and application. Once Authorized, copy and paste Authorization code into following field.";"S";"";"N";"N"
"Your AWeber account was successfully connected with application.";"Your AWeber account was successfully connected with application.";"S";"";"N";"N"
"{$productName} can plug into Facebook, Twitter, Weibo or Tencent account and transform all communication into tickets for better management. Avoid spending time on social networks by managing them with {$productName}.";"{$productName} can plug into Facebook, Twitter, Weibo or Tencent account and transform all communication into tickets for better management. Avoid spending time on social networks by managing them with {$productName}.";"S";"";"N";"N"
"Follow us on YouTube channel";"Follow us on YouTube channel";"S";"";"N";"N"
"Discover %s";"Discover %s";"C";"";"N";"N"
"Customer service doesn’t stop when you leave your desk. We offer native apps for your favorite mobile devices, so you can provide customer service even on the go.";"Customer service doesn’t stop when you leave your desk. We offer native apps for your favorite mobile devices, so you can provide customer service even on the go.";"S";"";"N";"N"
"Do you want to switch email template for the department you selected?";"Do you want to switch email template for the department you selected?";"C";"";"N";"N"
"WARNING: Text that you have written so far will be lost.";"WARNING: Text that you have written so far will be lost.";"C";"";"N";"N"
"Svalbard and Jan Mayen";"Svalbard and Jan Mayen";"B";"";"N";"N"
"Romanian, Moldavian (Romanian from Republic of Moldova)";"Romanian, Moldavian (Romanian from Republic of Moldova)";"C";"";"N";"N"
"You can close browser window now.";"You can close browser window now.";"S";"";"N";"N"
"%s entries";"%s entries";"C";"";"N";"N"
"You don't have permissions to view this ticket.";"You don't have permissions to view this ticket.";"B";"";"N";"N"
"Open this ticket in Agent panel.";"Open this ticket in Agent panel.";"S";"";"N";"N"
"Email forwarded to ";"Email forwarded to ";"B";"";"N";"N"
"Listbox button";"Listbox button";"S";"";"N";"N"
"Window button";"Window button";"C";"";"N";"N"
"Questions?<br />We can help you";"Questions?<br />We can help you";"C";"";"N";"N"
"Online chat support";"Online chat support";"C";"";"N";"N"
"Chat now";"Chat now";"C";"";"N";"N"
"Leave us offline message";"Leave us offline message";"C";"";"N";"N"
"Right button";"Right button";"C";"";"N";"N"
"Left button";"Left button";"C";"";"N";"N"
"Call Us";"Call Us";"C";"";"N";"N"
"Call us";"Call us";"C";"";"N";"N"
"we will help you";"we will help you";"C";"";"N";"N"
"Bottom invitation";"Bottom invitation";"C";"";"N";"N"
"Top invitation";"Top invitation";"C";"";"N";"N"
"Right invitation";"Right invitation";"C";"";"N";"N"
"Left invitation";"Left invitation";"C";"";"N";"N"
"Can we help you?";"Can we help you?";"C";"";"N";"N"
"Our Live chat is ready";"Our Live chat is ready";"C";"";"N";"N"
"Accept chat";"Accept chat";"C";"";"N";"N"
"No, thanks";"No, thanks";"C";"";"N";"N"
"Hello! Can I help you?";"Hello! Can I help you?";"C";"";"N";"N"
"Our support agents are waiting";"Our support agents are waiting";"C";"";"N";"N"
"Yes, sure";"Yes, sure";"C";"";"N";"N"
"Can I help you?";"Can I help you?";"C";"";"N";"N"
"Live Chat available";"Live Chat available";"C";"";"N";"N"
"Company Support";"Company Support";"C";"";"N";"N"
"Left corner";"Left corner";"C";"";"N";"N"
"We are ready to help you. If you are interested, just click on the accept chat button in the bottom of this box. We will try to answer all your questions.";"We are ready to help you. If you are interested, just click on the accept chat button in the bottom of this box. We will try to answer all your questions.";"C";"";"N";"N"
"Center invitation";"Center invitation";"C";"";"N";"N"
"Hello!<br/>Can I help you?";"Hello!<br/>Can I help you?";"C";"";"N";"N"
"I'm here for you.";"I'm here for you.";"C";"";"N";"N"
"Live chat available";"Live chat available";"C";"";"N";"N"
"I'm here for you";"I'm here for you";"C";"";"N";"N"
"Our live chat is ready.";"Our live chat is ready.";"C";"";"N";"N"
"Create own invitation";"Create own invitation";"C";"";"N";"N"
"%s is waiting.";"%s is waiting.";"C";"";"N";"N"
"%s is asking:";"%s is asking:";"C";"";"N";"N"
"Tell Us<br/>your needs";"Tell Us<br/>your needs";"C";"";"N";"N"
"tell us your needs";"tell us your needs";"C";"";"N";"N"
"Right corner";"Right corner";"C";"";"N";"N"
"Empty recipient";"Empty recipient";"S";"";"N";"N"
" for ";" for ";"S";"";"N";"N"
" at ";" at ";"S";"";"N";"N"
"Fetch Bulk mail";"Fetch Bulk mail";"C";"";"N";"N"
"Switch on/off fetching of bulk emails. Bulk mail is large amount of identical messages sent to many mail addresses.";"Switch on/off fetching of bulk emails. Bulk mail is large amount of identical messages sent to many mail addresses.";"C";"";"N";"N"
"Fetch Junk mail";"Fetch Junk mail";"C";"";"N";"N"
"Switch on/off fetching of junk emails. Also known as unsolicited bulk mail or spam.";"Switch on/off fetching of junk emails. Also known as unsolicited bulk mail or spam.";"C";"";"N";"N"
"Fetch empty return paths emails";"Fetch empty return paths emails";"C";"";"N";"N"
"Switch on/off fetching of empty return paths emails. Mails received as auto reply on sent messages.";"Switch on/off fetching of empty return paths emails. Mails received as auto reply on sent messages.";"C";"";"N";"N"
"You can not set custom domain to an IP address";"You can not set custom domain to an IP address";"B";"";"N";"N"
"The custom domain format is invalid";"The custom domain format is invalid";"B";"";"N";"N"
"Could not find mail account for ticket %s";"Could not find mail account for ticket %s";"S";"";"N";"N"
"Email '%s' is not valid.";"Email '%s' is not valid.";"S";"";"N";"N"
"Edit rule";"Edit rule";"C";"";"N";"N"
"Edit time rule";"Edit time rule";"C";"";"N";"N"
"Note (visible to agents only)";"Note (visible to agents only)";"C";"";"N";"N"
"resolved ticket silently";"resolved ticket silently";"B";"";"N";"N"
"Example 1: <a href='%s' target='_blank'>Return application installation date and the latest version.</a>";"Example 1: <a href='%s' target='_blank'>Return application installation date and the latest version.</a>";"C";"";"N";"N"
"Example 2: <a href='%s' target='_blank'>Return list of the first 100 customers.</a>";"Example 2: <a href='%s' target='_blank'>Return list of the first 100 customers.</a>";"C";"";"N";"N"
"Example 3: <a href='%s' target='_blank'>Return list of online agents.</a>";"Example 3: <a href='%s' target='_blank'>Return list of online agents.</a>";"C";"";"N";"N"
"All agents in ticket department";"All agents in ticket department";"B";"";"N";"N"
"Nobody";"Nobody";"B";"";"N";"N"
"Failed to delete widget with id %s. System widgets can not be deleted.";"Failed to delete widget with id %s. System widgets can not be deleted.";"S";"";"N";"N"
"Widget with id %s does not exist";"Widget with id %s does not exist";"S";"";"N";"N"
"Failed to delete widget with id %s: %s";"Failed to delete widget with id %s: %s";"S";"";"N";"N"
"Widget with id: %s does not exist.";"Widget with id: %s does not exist.";"S";"";"N";"N"
"Call pickup avg time";"Call pickup avg time";"S";"";"N";"N"
"search regular expression";"search regular expression";"S";"";"N";"N"
"replacement string";"replacement string";"S";"";"N";"N"
"Search and replace rules";"Search and replace rules";"S";"";"N";"N"
"Define each rule on a separate line in format %s. Please use free online regular expression tester like regex101.com or regexpal.com to test your expressions. Use regular expressions without delimiters and modifiers. You can use %s etc. in replacement string to reference captured groups. e.g. to obfuscate 16 digit credit card number, use: %s";"Define each rule on a separate line in format %s. Please use free online regular expression tester like regex101.com or regexpal.com to test your expressions. Use regular expressions without delimiters and modifiers. You can use %s etc. in replacement string to reference captured groups. e.g. to obfuscate 16 digit credit card number, use: %s";"S";"";"N";"N"
"Line doesn't contain separator.";"Line doesn't contain separator.";"S";"";"N";"N"
"Incorrect format of settings.";"Incorrect format of settings.";"S";"";"N";"N"
"The [search regex] part can not be empty.";"The [search regex] part can not be empty.";"S";"";"N";"N"
"Search & Replace plugin";"Search & Replace plugin";"S";"";"N";"N"
"Search string in every incoming message and replace it with something else before being displayed or stored in database. Can be used e.g. for obfuscating credit card numbers from 12345678 to 12xxxx78";"Search string in every incoming message and replace it with something else before being displayed or stored in database. Can be used e.g. for obfuscating credit card numbers from 12345678 to 12xxxx78";"S";"";"N";"N"
"Could not resolve DNS record for domain";"Could not resolve DNS record for domain";"S";"";"N";"N"
"Contact ID";"Contact ID";"S";"";"N";"N"
"Contact First Name";"Contact First Name";"S";"";"N";"N"
"Contact Last Name";"Contact Last Name";"S";"";"N";"N"
"Contact System Name";"Contact System Name";"S";"";"N";"N"
"Contact Emails [Recordset]";"Contact Emails [Recordset]";"S";"";"N";"N"
"Contact Phones [Recordset]";"Contact Phones [Recordset]";"S";"";"N";"N"
"Contact Twitter Handles";"Contact Twitter Handles";"S";"";"N";"N"
"Contact Avatar URL";"Contact Avatar URL";"S";"";"N";"N"
"Contact City";"Contact City";"S";"";"N";"N"
"Contact Country Code";"Contact Country Code";"S";"";"N";"N"
"Contact Time Offset";"Contact Time Offset";"S";"";"N";"N"
"Contact Gamification Level ID";"Contact Gamification Level ID";"S";"";"N";"N"
"Contact Groups";"Contact Groups";"S";"";"N";"N"
"Contact Note";"Contact Note";"S";"";"N";"N"
"Contact Gender";"Contact Gender";"S";"";"N";"N"
"Contact Status";"Contact Status";"S";"";"N";"N"
"Comma separated Contact emails";"Comma separated Contact emails";"S";"";"N";"N"
"is not empty";"is not empty";"B";"";"N";"N"
"Display method";"Display method";"S";"";"N";"N"
"Load directly into agent's browser";"Load directly into agent's browser";"S";"";"N";"N"
"URL";"URL";"B";"";"N";"N"
"URL of your script. Supported context variables: %s";"URL of your script. Supported context variables: %s";"S";"";"N";"N"
"HTTP Method";"HTTP Method";"B";"";"N";"N"
"Choose HTTP request method.";"Choose HTTP request method.";"S";"";"N";"N"
"Request Body";"Request Body";"S";"";"N";"N"
"Request BODY for POST method. In case of GET method all parameters should be passed through URL field. Supported context variables: %s";"Request BODY for POST method. In case of GET method all parameters should be passed through URL field. Supported context variables: %s";"S";"";"N";"N"
"HTTP Authentication User";"HTTP Authentication User";"S";"";"N";"N"
"Optional - leave empty if authentication is not required";"Optional - leave empty if authentication is not required";"S";"";"N";"N"
"HTTP Authentication Password";"HTTP Authentication Password";"S";"";"N";"N"
"Custom Plugin";"Custom Plugin";"S";"";"N";"N"
"Request failed with response code %s";"Request failed with response code %s";"S";"";"N";"N"
"Forwarding";"Forwarding";"B";"";"N";"N"
"1. Step";"1. Step";"S";"";"N";"N"
"2. Step";"2. Step";"S";"";"N";"N"
"We created new and fast helpdesk email address for you.";"We created new and fast helpdesk email address for you.";"S";"";"N";"N"
"It's already set up, ready for use in your business.";"It's already set up, ready for use in your business.";"S";"";"N";"N"
"Your new support email address is:";"Your new support email address is:";"S";"";"N";"N"
"Send a test email to this email address to see {$productName} in action.";"Send a test email to this email address to see {$productName} in action.";"S";"";"N";"N"
"How to get more support traffic to this email?";"How to get more support traffic to this email?";"S";"";"N";"N"
"Place this email address to your Contact info page of your website.";"Place this email address to your Contact info page of your website.";"S";"";"N";"N"
"Use email also in your corporate identity staff.";"Use email also in your corporate identity staff.";"S";"";"N";"N"
"Connect your current support email address via POP3, IMAP or forwarding and start fetching emails in your {$productName}.";"Connect your current support email address via POP3, IMAP or forwarding and start fetching emails in your {$productName}.";"S";"";"N";"N"
"You can connect unlimited email accounts and have access to unlimited number of tickets.";"You can connect unlimited email accounts and have access to unlimited number of tickets.";"S";"";"N";"N"
"Allow";"Allow";"S";"";"N";"N"
"Fast, no delay, stable";"Fast, no delay, stable";"S";"";"N";"N"
"Don't need to know POP3/IMAP/SMTP server settings";"Don't need to know POP3/IMAP/SMTP server settings";"S";"";"N";"N"
"Setup forwarding and add SPF record to your domain setting";"Setup forwarding and add SPF record to your domain setting";"S";"";"N";"N"
"Piping";"Piping";"B";"";"N";"N"
"Don't need to know POP3/IMAP server settings";"Don't need to know POP3/IMAP server settings";"S";"";"N";"N"
"IMAP or POP3";"IMAP or POP3";"S";"";"N";"N"
"Fetch emails to {$productName}";"Fetch emails to {$productName}";"S";"";"N";"N"
"Keep a backup on your servers";"Keep a backup on your servers";"S";"";"N";"N"
"New unread message!";"New unread message!";"S";"";"N";"N"
"Registered Visitor";"Registered Visitor";"C";"";"N";"N"
"You can buy additional agents by clicking on following link.";"You can buy additional agents by clicking on following link.";"C";"";"N";"N"
"You have reached maximum number of agents granted by your license.";"You have reached maximum number of agents granted by your license.";"C";"";"N";"N"
"Retry create agent";"Retry create agent";"C";"";"N";"N"
"Unable to create an agent at this moment.";"Unable to create an agent at this moment.";"C";"";"N";"N"
"Choose panel default theme for new agents and login screen. Agents can change their own theme in their profile.";"Choose panel default theme for new agents and login screen. Agents can change their own theme in their profile.";"C";"";"N";"N"
"Enable hyperlinking of URLs";"Enable hyperlinking of URLs";"C";"";"N";"N"
"If selected, URLs in text starting with http:// or www. will be clickable. This setting doesn't have effect on HTML emails.";"If selected, URLs in text starting with http:// or www. will be clickable. This setting doesn't have effect on HTML emails.";"C";"";"N";"N"
"Hide advanced options";"Hide advanced options";"C";"";"N";"N"
"Show advanced options";"Show advanced options";"C";"";"N";"N"
"in state %s";"in state %s";"C";"";"N";"N"
"Add email account";"Add email account";"C";"";"N";"N"
"SMTP";"SMTP";"C";"";"N";"N"
"Timeout expired";"Timeout expired";"B";"";"N";"N"
"Opening call";"Opening call";"C";"";"N";"N"
"Call closed";"Call closed";"C";"";"N";"N"
"Call failed";"Call failed";"C";"";"N";"N"
"If allowed, all outgoing and internal communication will be turned to tickets. Including calls from/to numbers not assigned to agents.";"If allowed, all outgoing and internal communication will be turned to tickets. Including calls from/to numbers not assigned to agents.";"C";"";"N";"N"
"Credit card";"Credit card";"C";"";"N";"N"
"Access to microphone is denied. Call can not be connected. You need to allow microphone access.";"Access to microphone is denied. Call can not be connected. You need to allow microphone access.";"C";"";"N";"N"
"User type";"User type";"C";"";"N";"N"
"Customer";"Customer";"B";"";"N";"N"
"Agent or Admin";"Agent or Admin";"C";"";"N";"N"
"added by user role";"added by user role";"B";"";"N";"N"
"requested by";"requested by";"B";"";"N";"N"
"day";"day";"C";"";"N";"N"
"Time zone";"Time zone";"C";"";"N";"N"
"[Time zone %s]";"[Time zone %s]";"C";"";"N";"N"
"current day";"current day";"B";"";"N";"N"
"value should be between 00:00 and 23:59";"value should be between 00:00 and 23:59";"C";"";"N";"N"
"current time";"current time";"B";"";"N";"N"
"This password reset link has already expired.";"This password reset link has already expired.";"S";"";"N";"N"
"Setting new password failed, try it again later.";"Setting new password failed, try it again later.";"S";"";"N";"N"
"Your new helpdesk email address";"Your new helpdesk email address";"S";"";"N";"N"
"Or connect with your own mailbox";"Or connect with your own mailbox";"S";"";"N";"N"
"Discover {$productName}";"Discover {$productName}";"S";"";"N";"N"
"Gmail requires additional permissions to run 3rd party apps with IMAP";"Gmail requires additional permissions to run 3rd party apps with IMAP";"S";"";"N";"N"
"Delete old sent mails";"Delete old sent mails";"C";"";"N";"N"
"Number of days after which the sent mails from application will be deleted";"Number of days after which the sent mails from application will be deleted";"C";"";"N";"N"
"Customer Group";"Customer Group";"C";"";"N";"N"
"customer group is %s";"customer group is %s";"C";"";"N";"N"
"Display after agent pickup call";"Display after agent pickup call";"C";"";"N";"N"
"File with id %s does not exist";"File with id %s does not exist";"S";"";"N";"N"
